recordID,state,cases,deaths
d100220,Wisconsin,1,0
d100221,Arizona,1,0
d100222,California,27,0
d100223,Illinois,2,0
d100224,Massachusetts,1,0
d100225,Nebraska,13,0
d100226,Oregon,1,0
d100227,Texas,11,0
d100228,Utah,1,0
d100229,Washington,7,0
d100230,Wisconsin,1,0
d100231,Arizona,1,0
d100232,California,28,0
d100233,Illinois,3,0
d100234,Massachusetts,1,0
d100235,Nebraska,13,0
d100236,Oregon,1,0
d100237,Texas,11,0
d100238,Utah,1,0
d100239,Washington,10,1
d100240,Wisconsin,1,0
d100241,Arizona,1,0
d100242,California,33,0
d100243,Florida,2,0
d100244,Illinois,3,0
d100245,Massachusetts,1,0
d100246,Nebraska,13,0
d100247,New York,1,0
d100248,Oregon,2,0
d100249,Rhode Island,2,0
d100250,Texas,11,0
d100251,Utah,1,0
d100252,Washington,17,3
d100253,Wisconsin,1,0
d100254,Arizona,1,0
d100255,California,38,0
d100256,Florida,2,0
d100257,Georgia,2,0
d100258,Illinois,4,0
d100259,Massachusetts,2,0
d100260,Nebraska,13,0
d100261,New Hampshire,1,0
d100262,New York,1,0
d100263,Oregon,2,0
d100264,Rhode Island,2,0
d100265,Texas,11,0
d100266,Utah,1,0
d100267,Washington,23,6
d100268,Wisconsin,1,0
d100269,Arizona,2,0
d100270,California,45,0
d100271,Florida,3,0
d100272,Georgia,2,0
d100273,Illinois,4,0
d100274,Massachusetts,2,0
d100275,Nebraska,13,0
d100276,New Hampshire,2,0
d100277,New York,2,0
d100278,North Carolina,1,0
d100279,Oregon,2,0
d100280,Rhode Island,2,0
d100281,Texas,11,0
d100282,Utah,1,0
d100283,Washington,32,10
d100284,Wisconsin,1,0
d100285,Arizona,2,0
d100286,California,55,1
d100287,Florida,3,0
d100288,Georgia,2,0
d100289,Illinois,4,0
d100290,Massachusetts,2,0
d100291,Nebraska,13,0
d100292,New Hampshire,2,0
d100293,New Jersey,1,0
d100294,New York,11,0
d100295,North Carolina,1,0
d100296,Oregon,2,0
d100297,Rhode Island,2,0
d100298,Texas,12,0
d100299,Utah,1,0
d100300,Washington,47,11
d100301,Wisconsin,1,0
d100302,Arizona,2,0
d100303,California,67,1
d100304,Colorado,2,0
d100305,Florida,4,0
d100306,Georgia,2,0
d100307,Illinois,5,0
d100308,Maryland,3,0
d100309,Massachusetts,3,0
d100310,Nebraska,13,0
d100311,Nevada,2,0
d100312,New Hampshire,2,0
d100313,New Jersey,2,0
d100314,New York,22,0
d100315,North Carolina,1,0
d100316,Oregon,2,0
d100317,Rhode Island,2,0
d100318,Tennessee,1,0
d100319,Texas,16,0
d100320,Utah,1,0
d100321,Washington,75,11
d100322,Wisconsin,1,0
d100323,Arizona,3,0
d100324,California,81,1
d100325,Colorado,8,0
d100326,Florida,7,2
d100327,Georgia,3,0
d100328,Hawaii,1,0
d100329,Illinois,6,0
d100330,Indiana,1,0
d100331,Kentucky,1,0
d100332,Maryland,3,0
d100333,Massachusetts,8,0
d100334,Minnesota,1,0
d100335,Nebraska,14,0
d100336,Nevada,2,0
d100337,New Hampshire,2,0
d100338,New Jersey,4,0
d100339,New York,44,0
d100340,North Carolina,2,0
d100341,Oklahoma,1,0
d100342,Oregon,2,0
d100343,Pennsylvania,2,0
d100344,Rhode Island,3,0
d100345,South Carolina,2,0
d100346,Tennessee,1,0
d100347,Texas,19,0
d100348,Utah,3,0
d100349,Washington,86,12
d100350,Wisconsin,1,0
d100351,Arizona,5,0
d100352,California,100,1
d100353,Colorado,8,0
d100354,District of Columbia,1,0
d100355,Florida,12,2
d100356,Georgia,7,0
d100357,Hawaii,1,0
d100358,Illinois,6,0
d100359,Indiana,1,0
d100360,Kansas,1,0
d100361,Kentucky,1,0
d100362,Maryland,3,0
d100363,Massachusetts,13,0
d100364,Minnesota,1,0
d100365,Missouri,1,0
d100366,Nebraska,14,0
d100367,Nevada,2,0
d100368,New Hampshire,4,0
d100369,New Jersey,4,0
d100370,New York,89,0
d100371,North Carolina,2,0
d100372,Oklahoma,1,0
d100373,Oregon,6,0
d100374,Pennsylvania,4,0
d100375,Rhode Island,3,0
d100376,South Carolina,2,0
